# AI0: U_in (V)	# AI1: U_out (V)	
5.71083	8.41461
5.89577	8.41363
6.16508	8.41461
6.56644	8.41363
6.95807	8.41461
7.30752	8.41331
7.64367	8.41428
7.88702	8.41396
8.01843	8.41688
8.10863	8.41688
8.14497	8.41882
8.17904	8.41817
8.22706	8.42012
8.28255	8.42012
8.39092	8.42272
8.5233	8.42207
8.7209	8.42337
9.11318	8.42272
8.77671	8.42142
7.92661	8.41396
7.15502	8.41233
6.38117	8.41363
5.79519	8.41233
5.3896	8.41396
5.13036	8.41266
4.9665	8.41396
4.89058	8.41266
4.84191	8.41363
4.76468	8.41233
4.61835	8.41363
4.42043	8.41266
4.15112	8.41428
3.80557	8.41266
3.47299	8.41428
3.17675	8.41298
2.87208	8.41428
2.56254	8.41298
2.3617	8.41428
2.18811	8.41266
2.01712	8.41428
1.81854	8.41331
1.55346	8.41428
1.39512	8.41298
1.26923	8.41461
1.12224	8.41298
0.905177	8.41461
0.660206	8.41396
0.516468	8.41558
0.408097	8.4159
0.325359	8.4185
0.224775	8.41915
0.0670854	8.42239
-0.0529664	-7.53611
-0.122402	-7.56207
-0.176263	-7.57505
-0.227204	-7.58316
-0.27198	-7.5903
-0.316107	-7.59484
-0.400143	-7.6036
-0.487749	-7.61009
-0.594497	-7.61658
-0.665231	-7.61885
-0.72039	-7.62145
-0.807022	-7.62209
-1.003	-7.6354
-1.1516	-7.63475
-1.28658	-7.6354
-1.38392	-7.63475
-1.45141	-7.63507
-1.52409	-7.63442
-1.61818	-7.63507
-1.75089	-7.63442
-2.01695	-7.63572
-2.37516	-7.63475
-2.71779	-7.6354
-3.08087	-7.63475
-3.44362	-7.6354
-3.83979	-7.63475
-4.20579	-7.63475
-4.5627	-7.63442
-4.73402	-7.63475
-4.81481	-7.63475
-4.83947	-7.63507
-4.85375	-7.63507
-4.86381	-7.63475
-4.87419	-7.63475
-4.88587	-7.63507
-4.89852	-7.63475
-4.90858	-7.63507
-4.91994	-7.63475
-5.23759	-7.63475
-5.66588	-7.63475
-6.15356	-7.63507
-6.674	-7.63475
-7.21067	-7.63442
-7.7256	-7.63475
-8.16525	-7.63475
-8.44592	-7.63507
-8.55429	-7.63475
-8.56986	-7.63507
-8.59193	-7.63507
-8.6393	-7.63475
-8.87	-7.63507
-8.88103	-7.63475
