# AI0: U_in (V)	# AI1: U_out (V)	
-7.41281	-7.6341
-6.6753	-7.6328
-5.86284	-7.6341
-5.08444	-7.63345
-4.24635	-7.63377
-3.40988	-7.6328
-2.28463	-7.63377
-1.30475	-7.63313
-0.394952	-7.60198
0.371108	8.4159
0.886358	8.41266
1.19719	8.41461
1.46261	8.41688
1.82958	8.42272
2.32795	8.44251
2.79291	8.46652
3.21634	8.49929
3.60926	8.5272
3.93924	8.55834
4.39674	8.60864
4.39674	8.64627
4.39739	8.68326
4.39804	8.70598
4.39804	8.73388
4.39739	8.75173
4.39804	8.76925
4.39771	8.78255
4.39804	8.7978
4.39804	8.81338
4.02425	8.78709
2.68454	8.60247
0.572276	8.41525
-1.48677	-7.63507
-2.72947	-7.63507
-3.88132	-7.63507
-4.88522	-7.63442
-5.73759	-7.6354
-6.4459	-7.63507
-6.9764	-7.63507
-7.49198	-7.63442
-8.05104	-7.6354
-8.58057	-7.63507
-9.12633	-7.6354
-9.63217	-7.63475
-10.1153	-7.63507
-10.5699	-7.63475
-10.6523	-7.63507
-10.6523	-7.62047
-10.6523	8.43505
-10.6523	-7.62923
-10.1903	-7.63313
-9.34113	-7.63377
-8.54618	-7.63313
-7.8171	-7.63377
-7.10944	-7.63345
-6.37711	-7.63377
-5.72202	-7.63313
-5.1078	-7.63377
-4.41929	-7.63313
-3.79664	-7.63377
-3.24862	-7.63313
-2.83655	-7.63377
-2.43389	-7.63345
-2.08638	-7.63377
-1.93194	-7.63313
-1.91961	-7.63377
-1.90598	-7.63377
-1.46925	-7.63313
-1.14057	-7.63377
-0.694108	-7.61917
-0.171396	-7.57277
0.347423	8.41688
0.793237	8.41233
1.09791	8.41461
1.363	8.41558
1.53074	8.41817
1.64593	8.41947
1.81238	8.42304
1.95125	8.42693
2.25657	8.43829
2.42562	8.44673
2.52588	8.45192
2.57812	8.45679
2.61802	8.45711
2.70368	8.4636
2.94995	8.47885
3.24619	8.50091
3.43373	8.51551
3.54826	8.52525
3.68746	8.53823
3.88538	8.55575
4.39739	8.60604
4.39707	8.64335
4.39771	8.68229
4.39707	8.70306
4.39739	8.7368
4.39771	8.75367
4.39804	8.77476
4.39739	8.7978
4.39804	8.8111
4.39804	8.82116
4.39804	8.81046
3.44411	8.71052
2.20368	8.48793
0.602776	8.41428
-0.62013	-7.61788
-1.52182	-7.6354
-2.20773	-7.63507
-2.67626	-7.6354
-2.96114	-7.63475
-3.04972	-7.63507
-3.06951	-7.63507
-3.08152	-7.63507
-3.24927	-7.63475
-3.44557	-7.63475
-3.67464	-7.63475
-3.95498	-7.63442
-4.36251	-7.63507
-5.1104	-7.63507
-6.13441	-7.63507
-7.44493	-7.6341
-9.09712	-7.63442
-10.6523	-7.63475
-10.6523	-7.62112
-10.6523	8.43829
-10.6523	-7.62988
-9.77397	-7.63313
-8.54748	-7.63215
-7.32942	-7.6328
-6.07471	-7.63248
-4.76906	-7.63313
-3.35991	-7.6328
-2.23499	-7.6328
-1.70611	-7.63248
-1.26581	-7.63313
-0.753809	-7.6195
-0.365101	-7.59841
0.108617	8.4198
0.455794	8.41428
0.740349	8.41363
1.06968	8.41331
1.4201	8.4159
1.68162	8.4198
1.92692	8.42564
2.17221	8.43505
2.52036	8.4503
2.87792	8.4756
3.34288	8.50513
3.73451	8.5418
4.39674	8.59696
4.39739	8.6492
4.39739	8.6745
4.39739	8.71182
4.39771	8.73064
4.39771	8.76146
4.39739	8.79164
4.39836	8.80883
4.39739	8.81922
4.39739	8.80916
4.39804	8.81954
4.39771	8.80948
4.0408	8.78709
3.93308	8.73129
3.68454	8.67191
3.44411	8.57132
3.2264	8.5074
3.09337	8.48923
2.99019	8.48566
2.94087	8.4782
2.91945	8.47982
2.90647	8.47528
2.89057	8.47755
2.8763	8.47398
2.85164	8.47528
2.70076	8.4623
2.55248	8.45581
2.40096	8.4451
2.22088	8.43829
2.12679	8.4331
1.97137	8.42888
1.78058	8.42304
1.5859	8.41882
1.47623	8.41753
1.36657	8.41623
1.2092	8.4159
0.77896	8.41331
0.0953138	8.42109
-0.666853	-7.62015
-1.38489	-7.63475
-2.27457	-7.63507
-3.06854	-7.63442
-3.73986	-7.63507
-4.37289	-7.63475
-5.09028	-7.6354
-5.77328	-7.63475
-6.37776	-7.63475
-6.85019	-7.63442
-7.30444	-7.6354
-7.85571	-7.63507
-8.51925	-7.63507
-9.22075	-7.63507
-9.96346	-7.63507
-10.5446	-7.63442
-10.6523	-7.63475
-10.6523	8.29228
-10.6523	8.43634
