U_diff	U_CM	U_out
0.000000	3.500000	6.407331
0.000000	4.000000	6.406978
0.000000	4.300000	6.406647
0.000000	3.900000	6.407028
0.000000	3.600000	6.407241
0.000000	-0.700000	6.410449
0.000000	-2.100000	6.411562
0.000000	-4.600000	6.413426
0.000000	-6.200000	6.414533
0.000000	-6.400000	6.414720
0.000000	-7.400000	6.415427
0.000000	-7.500000	6.415553
0.000000	-8.000000	6.415901
0.000000	-8.100000	6.415968
0.000000	-7.900000	6.415909
0.000000	-7.600000	6.415607
0.000000	-6.200000	6.414550
0.000000	-5.000000	6.413669
0.000000	-3.700000	6.412616
0.000000	-3.100000	6.412219
0.000000	-1.800000	6.411283
0.000000	-1.500000	6.411063
0.000000	-3.100000	6.412197
0.000000	-4.300000	6.413150
0.000000	-5.400000	6.413886
0.000000	-6.300000	6.414597
0.000000	-6.200000	6.414591
0.000000	-6.100000	6.414493
0.000000	-4.800000	6.413500
0.000000	-3.900000	6.412785
0.000000	-3.100000	6.412168
0.000000	-3.000000	6.412124
0.000000	-2.900000	6.411991
0.000000	-2.700000	6.411893
0.000000	-2.500000	6.411763
0.000000	-2.400000	6.411694
0.000000	-2.500000	6.411747
0.000000	-2.700000	6.411901
0.000000	-3.300000	6.412278
0.000000	-3.700000	6.412679
0.000000	-3.600000	6.412555
0.000000	-3.200000	6.412267
0.000000	-3.300000	6.412311
0.000000	-3.500000	6.412474
0.000000	-3.300000	6.412282
0.000000	-3.200000	6.412234
0.000000	-3.100000	6.412135
0.000000	-3.000000	6.412047
0.000000	-3.200000	6.412262
0.000000	-3.500000	6.412442
0.000000	-4.000000	6.412810
0.000000	-4.600000	6.413266
0.000000	-4.900000	6.413531
0.000000	-5.200000	6.413697
0.000000	-5.400000	6.413888
0.000000	-5.500000	6.413962
0.000000	-5.700000	6.414137
0.000000	-6.200000	6.414462
0.000000	-6.700000	6.414923
0.000000	-6.800000	6.414945
0.000000	-7.300000	6.415306
