# Zeit (s)	# Kanal 2 (V)	# D0-D7	
-0.238	0.726563	0
-0.236	0.722656	0
-0.234	0.719531	0
-0.232	0.717188	0
-0.23	0.716016	0
-0.228	0.716406	0
-0.226	0.717969	0
-0.224	0.719922	0
-0.222	0.723047	0
-0.22	0.726563	0
-0.218	0.729688	0
-0.216	0.732422	0
-0.214	0.735156	0
-0.212	0.736719	0
-0.21	0.7375	0
-0.208	0.736719	0
-0.206	0.734766	0
-0.204	0.732422	0
-0.202	0.729297	0
-0.2	0.725781	0
-0.198	0.722656	0
-0.196	0.720313	0
-0.194	0.719141	0
-0.192	0.719141	0
-0.19	0.720313	0
-0.188	0.722266	0
-0.186	0.724609	0
-0.184	0.726563	0
-0.182	0.728516	0
-0.18	0.729688	0
-0.178	0.730859	0
-0.176	0.732031	0
-0.174	0.733203	0
-0.172	0.734375	0
-0.17	0.735938	0
-0.168	0.7375	0
-0.166	0.739453	0
-0.164	0.741797	0
-0.162	0.744141	0
-0.16	0.746484	0
-0.158	0.748438	0
-0.156	0.749219	0
-0.154	0.749219	0
-0.152	0.748047	0
-0.15	0.746484	0
-0.148	0.745703	0
-0.146	0.745313	0
-0.144	0.746875	0
-0.142	0.75	0
-0.14	0.755078	0
-0.138	0.7625	0
-0.136	0.770703	0
-0.134	0.779297	0
-0.132	0.787891	0
-0.13	0.794922	0
-0.128	0.800781	0
-0.126	0.804297	0
-0.124	0.805469	0
-0.122	0.804688	0
-0.12	0.802344	0
-0.118	0.798828	0
-0.116	0.794531	0
-0.114	0.790234	0
-0.112	0.786719	0
-0.11	0.783984	0
-0.108	0.782422	0
-0.106	0.782031	0
-0.104	0.782031	0
-0.102	0.782031	0
-0.1	0.782031	0
-0.098	0.78125	0
-0.096	0.779297	0
-0.094	0.776172	0
-0.092	0.771094	0
-0.09	0.764844	0
-0.088	0.757031	0
-0.086	0.750391	0
-0.084	0.744531	0
-0.082	0.740625	0
-0.08	0.738672	0
-0.078	0.738281	0
-0.076	0.739453	0
-0.074	0.741797	0
-0.072	0.744531	0
-0.07	0.747656	0
-0.068	0.75	0
-0.066	0.751172	0
-0.064	0.750781	0
-0.062	0.749219	0
-0.06	0.746484	0
-0.058	0.743359	0
-0.056	0.739844	0
-0.054	0.736328	0
-0.052	0.733203	0
-0.05	0.730469	0
-0.048	0.727734	0
-0.046	0.724609	0
-0.044	0.722266	0
-0.042	0.719922	0
-0.04	0.71875	0
-0.038	0.717578	0
-0.036	0.716016	0
-0.034	0.714453	0
-0.032	0.712109	0
-0.03	0.709766	0
-0.028	0.706641	0
-0.026	0.703125	0
-0.024	0.699219	0
-0.022	0.695313	0
-0.02	0.692578	0
-0.018	0.691406	0
-0.016	0.694141	0
-0.014	0.701563	0
-0.012	0.715234	0
-0.01	0.735547	0
-0.008	0.763281	0
-0.006	0.799609	0
-0.004	0.842188	0
-0.002	0.890234	0
0.0000000000000000208167	0.944141	0
0.002	0.999219	0
0.004	1.05664	0
0.006	1.11172	0
0.008	1.16328	0
0.01	1.20703	0
0.012	1.23867	0
0.014	1.25586	0
0.016	1.25586	0
0.018	1.23672	0
0.02	1.19922	0
0.022	1.14375	0
0.024	1.07578	0
0.026	0.997656	0
0.028	0.916016	0
0.03	0.833984	0
0.032	0.75625	0
0.034	0.690625	0
0.036	0.639844	0
0.038	0.604688	0
0.04	0.587109	0
0.042	0.587109	0
0.044	0.602344	0
0.046	0.630469	0
0.048	0.667969	0
0.05	0.710547	0
0.052	0.75625	0
0.054	0.801172	0
0.056	0.840625	0
0.058	0.870313	0
0.06	0.891016	0
0.062	0.901172	0
0.064	0.899219	0
0.066	0.885547	0
0.068	0.864453	0
0.07	0.836328	0
0.072	0.802344	0
0.074	0.766797	0
0.076	0.732422	0
0.078	0.701953	0
0.08	0.678125	0
0.082	0.661328	0
0.084	0.653125	0
0.086	0.653906	0
0.088	0.663672	0
